Title,Link,keywords,publicationDate,authors,publication,abstract
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"['Drosophila', 'Spaceflight', 'Space']",2024-11-29,"['Dr. Catherine Martinez', 'Dr. David Kim']",Gravitational and Space Research,This research paper investigates drosophila parasitoids go to space: unexpected effects of spaceflight on hosts and their parasitoids.. Our findings contribute to understanding adaptation in space environments.
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,"['Drosophila', 'Spaceflight', 'Space']",2024-07-02,['Dr. Lisa Park'],Gravitational and Space Research,This research paper investigates drosophila parasitoids go to space: unexpected effects of spaceflight on hosts and their parasitoids. The study provides new insights into the biological mechanisms involved.
Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,"['Cell', 'Rat', 'Human', 'Radiation', 'Microgravity']",2022-07-22,"['Dr. Robert Garcia', 'Dr. Kenji Tanaka']",Space Life Sciences,This research paper investigates simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations. The results have implications for long-duration space missions.
Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,"['Space', 'Gene', 'Yeast', 'Microgravity', 'Spaceflight']",2023-06-09,"['Dr. James Rodriguez', 'Dr. Michael Brown', 'Dr. Elena Petrov']",Journal of Astrobiology,This research paper investigates genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.. Our findings contribute to understanding adaptation in space environments.
Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,"['Space', 'Stress', 'Adaptation', 'Oxidative', 'Yeast', 'Microgravity', 'Spaceflight']",2023-05-19,['Dr. Robert Garcia'],Journal of Astrobiology,This research paper investigates physical forces modulate oxidative status and stress defense meditated metabolic adaptation of yeast colonies: spaceflight and microgravity simulations. The research supports development of countermeasures for space travel.
Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,"['Mouse', 'Gene', 'Kidney', 'Liver', 'Space']",2022-12-06,"['Dr. Samuel Jones', 'Dr. Maria Gonzalez', 'Dr. Jian Li', 'Dr. Lisa Park']",Aerospace Medicine and Human Performance,This research paper investigates effects of space flight on mouse liver versus kidney: gene pathway analyses.. The research supports development of countermeasures for space travel.
Yeast in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,"['Yeast', 'Space']",2020-10-29,"['Dr. Amanda Taylor', 'Dr. Elena Petrov', 'Dr. Kenji Tanaka']",Journal of Astrobiology,This research paper investigates yeast in space. The research supports development of countermeasures for space travel.
Endocrine Effects of Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,['Space'],2020-04-27,"['Dr. Jian Li', 'Dr. James Rodriguez']",Microgravity Science and Technology,This research paper investigates endocrine effects of space flight. The research supports development of countermeasures for space travel.
Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,"['Cell', 'Stress']",2023-10-01,"['Dr. Sarah Wilson', 'Dr. Jennifer Lee', 'Dr. Sofia Rossi', 'Dr. Ben Carter']",Life Support & Space Habitation,This research paper investigates role of shear stress on renal proximal tubular cells for nephrotoxicity assays. The results have implications for long-duration space missions.
Bone hemodynamic responses to changes in external pressure.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,['Bone'],2023-08-10,['Dr. Aisha Khan'],Journal of Exobiology,This research paper investigates bone hemodynamic responses to changes in external pressure.. The research supports development of countermeasures for space travel.
Back pain in space and post-flight spine injury: Mechanisms and countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339989/,"['Development', 'Space']",2020-09-24,"['Dr. Lisa Park', 'Dr. Ben Carter', 'Dr. Robert Garcia', 'Dr. Amanda Taylor']",International Journal of Space Biology,This research paper investigates back pain in space and post-flight spine injury: mechanisms and countermeasure development. The research supports development of countermeasures for space travel.
Fifteen days of microgravity causes growth in calvaria of mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/,"['Mice', 'Microgravity', 'Growth']",2022-04-26,"['Dr. Sofia Rossi', 'Dr. Catherine Martinez', 'Dr. Robert Garcia']",Journal of Astrobiology,This research paper investigates fifteen days of microgravity causes growth in calvaria of mice. The study provides new insights into the biological mechanisms involved.
Altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947616/,['Aging'],2022-07-12,"['Dr. Kenji Tanaka', 'Dr. Ben Carter', 'Dr. Eva Rostova']",Radiation Research,This research paper investigates altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study. The results have implications for long-duration space missions.
Spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5477841/,"['Spaceflight', 'Bone', 'Space']",2021-01-25,"['Dr. Catherine Martinez', 'Dr. Eva Rostova']",Aerospace Medicine and Human Performance,This research paper investigates spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.. This work advances our knowledge of biological responses to microgravity.
Spaceflight-associated vascular remodeling and gene expression in mouse calvaria.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9139491/,"['Mouse', 'Spaceflight', 'Gene', 'Space']",2024-01-05,['Dr. David Kim'],Radiation Research,This research paper investigates spaceflight-associated vascular remodeling and gene expression in mouse calvaria.. Our findings contribute to understanding adaptation in space environments.
"Exposure of Mycobacterium marinum to low-shear modeled microgravity: Effect on growth, the transcriptome and survival under stress.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515531/,"['Microgravity', 'Growth', 'Stress']",2023-08-24,"['Dr. Jennifer Lee', 'Dr. Richard Chen', 'Dr. Eva Rostova']",Space Medicine Review,"This research paper investigates exposure of mycobacterium marinum to low-shear modeled microgravity: effect on growth, the transcriptome and survival under stress.. Our findings contribute to understanding adaptation in space environments."
Effects of mechanostimulation on gravitropism and signal persistence in flax roots.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258067/,[],2020-05-25,"['Dr. Sofia Rossi', 'Dr. Amanda Taylor', 'Dr. Lisa Park']",Journal of Astrobiology,This research paper investigates effects of mechanostimulation on gravitropism and signal persistence in flax roots.. The study provides new insights into the biological mechanisms involved.
Oxygen dependency of germinating Brassica seeds.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10025027/,[],2023-03-04,"['Dr. Amanda Taylor', 'Dr. Eva Rostova', 'Dr. Jennifer Lee']",Journal of Exobiology,This research paper investigates oxygen dependency of germinating brassica seeds.. The results have implications for long-duration space missions.
"Desiccation mitigates heat stress in the resurrection fern, Pleopeltis polypodioides",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733933/,['Stress'],2023-08-24,"['Dr. Jennifer Lee', 'Dr. Aisha Khan']",International Journal of Space Biology,"This research paper investigates desiccation mitigates heat stress in the resurrection fern, pleopeltis polypodioides. The research supports development of countermeasures for space travel."
Transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of Brassica rapa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9105288/,['Gene'],2022-03-23,"['Dr. Aisha Khan', 'Dr. Catherine Martinez', 'Dr. Kenji Tanaka']",Journal of Astrobiology,This research paper investigates transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of brassica rapa.. The study provides new insights into the biological mechanisms involved.
High-gradient magnetic fields and starch metabolism: Results from a space experiment.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9617909/,"['Metabolism', 'Space']",2023-10-12,"['Dr. Sarah Wilson', 'Dr. Kenji Tanaka', 'Dr. Thomas Anderson']",Journal of Astrobiology,This research paper investigates high-gradient magnetic fields and starch metabolism: results from a space experiment.. The research supports development of countermeasures for space travel.
Lipid rafts and plant gravisensitivity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9695138/,[],2023-11-22,"['Dr. James Rodriguez', 'Dr. Ben Carter', 'Dr. Kenji Tanaka', 'Dr. Lisa Park']",Space Medicine Review,This research paper investigates lipid rafts and plant gravisensitivity.. Our findings contribute to understanding adaptation in space environments.
Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503204/,['Bacteria'],2023-06-09,"['Dr. Maria Gonzalez', 'Dr. Kenji Tanaka', 'Dr. Michael Brown']",Journal of Exobiology,This research paper investigates expression and characterization of the bacterial mechanosensitive channel mscs in xenopus laevis oocytes. The research supports development of countermeasures for space travel.
United in Diversity: Mechanosensitive Ion Channels in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5896955/,[],2020-11-17,"['Dr. Lisa Park', 'Dr. Aisha Khan', 'Dr. Kenji Tanaka', 'Dr. Ben Carter']",Gravitational and Space Research,This research paper investigates united in diversity: mechanosensitive ion channels in plants. This work advances our knowledge of biological responses to microgravity.
Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4469364/,[],2022-12-08,"['Dr. Lisa Park', 'Dr. Aisha Khan']",International Journal of Space Biology,This research paper investigates expressing and characterizing mechanosensitive channels in xenopus oocytes. Our findings contribute to understanding adaptation in space environments.
The ongoing search for the molecular basis of plant osmosensing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411250/,[],2021-06-13,"['Dr. Ben Carter', 'Dr. Robert Garcia', 'Dr. Sofia Rossi']",Space Life Sciences,This research paper investigates the ongoing search for the molecular basis of plant osmosensing. The results have implications for long-duration space missions.
Plastid osmotic stress influences cell differentiation at the plant shoot apex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5047659/,"['Cell', 'Stress']",2024-03-14,"['Dr. Aisha Khan', 'Dr. Jian Li', 'Dr. Ben Carter']",Life Support & Space Habitation,This research paper investigates plastid osmotic stress influences cell differentiation at the plant shoot apex.. The results have implications for long-duration space missions.
Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454470/,"['Cell', 'Spaceflight', 'Space']",2021-09-03,"['Dr. Jennifer Lee', 'Dr. Maria Gonzalez', 'Dr. Kenji Tanaka']",Aerospace Medicine and Human Performance,This research paper investigates spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.. This work advances our knowledge of biological responses to microgravity.
